full_name,accepted_prs,rejected_prs
1c-syntax/bsl-language-server,1,2
2006-Scape/2006Scape,0,1
AutoMQ/automq,0,1
Azure-Samples/azure-search-openai-demo-java,0,1
Azure/azure-sdk-for-java,5,10
Camelcade/Perl5-IDEA,4,0
CarGuo/GSYVideoPlayer,0,1
DataDog/dd-trace-java,2,0
EduMIPS64/edumips64,7,3
GrimAnticheat/Grim,0,1
Igalia/wolvic,0,1
JetBrains/psiviewer,3,0
Kaljurand/K6nele,0,2
MeteorDevelopment/meteor-client,0,1
OWASP/wrongsecrets,3,2
OpenHFT/Chronicle-Bytes,23,2
OpenHFT/Chronicle-Core,68,42
OpenHFT/Chronicle-Logger,50,0
OpenHFT/Chronicle-Threads,52,1
OpenHFT/Chronicle-Values,97,2
OpenHFT/Chronicle-Wire,152,12
OpenHFT/Java-Runtime-Compiler,12,0
OpenHFT/Java-Thread-Affinity,32,2
Photon-GitHub/AntiCheatAddition,2,0
RyanSusana/elepy,0,2
SimonHalvdansson/Harmonic-HN,9,1
StarRocks/starrocks,2,5
Stirling-Tools/Stirling-PDF,5,5
USS-Shenzhou/MadParticle,1,0
VerisimilitudeX/DNAnalyzer,26,10
W1LDN16H7/JPL,1,1
YunaiV/ruoyi-vue-pro,0,5
YunaiV/yudao-cloud,0,1
akto-api-security/akto,0,3
apache/ozone,0,1
apache/pinot,3,1
apache/pulsar,1,1
apolloconfig/apollo,1,2
binarywang/WxJava,4,11
camunda/camunda,8,12
chsami/Microbot,0,1
cwuom/ono,1,1
datahub-project/datahub,4,2
dji-sdk/Mobile-SDK-Android-V5,0,1
domaframework/doma,1,2
dotCMS/core,3,9
feiyuchuixue/sz-boot-parent,0,1
freeplane/freeplane,1,1
geoserver/geoserver,0,1
halilozel1903/AndroidTVMovieParadise,18,0
halo-dev/halo,0,4
hyperledger/besu,0,1
hyperxpro/Brotli4j,0,2
ikarus23/MifareClassicTool,0,1
jbangdev/jbang,0,1
jdereg/java-util,224,4
jdereg/json-io,105,0
jenkinsci/jira-plugin,0,1
kongzue/DialogX,1,1
liyupi/yu-ai-agent,0,1
lunasaw/gb28181-proxy,2,0
microsoft/ApplicationInsights-Java,8,15
microsoft/HydraLab,0,2
microsoft/semantic-kernel-java,0,1
microsoft/typespec,18,26
mixpanel/mixpanel-android,0,2
nuxeo/nuxeo,0,1
objectionary/eo,3,3
operaton/operaton,6,1
plantuml/plantuml,1,1
qaiu/netdisk-fast-download,0,1
rieckpil/testing-spring-boot-applications-masterclass,0,1
sakaiproject/sakai,2,2
spring-projects/spring-kafka,0,1
stingle/stingle-photos-android,0,2
tonihele/OpenKeeper,0,1
traccar/traccar,3,1
trinodb/trino,0,1
vaadin/flow,0,4
valkey-io/valkey-glide,20,18
wgzhao/Addax,1,0
wgzhao/dbeaver-agent,1,0
why168/LoopViewPagerLayout,0,1
wso2/product-is,0,1
xpinjection/test-driven-spring-boot,9,1
yegor256/cactoos,0,2
