full_name,PR_ID,NumWatchers,NumDays,NumCommits,NumOpenIssues,NumClosedIssues,NumPullReqs,NumContributors
dotCMS/core,32609,924,4997,27374,587,18560,14655,156
apache/pulsar,24542,14965,3431,13831,1215,6112,16841,760
dotCMS/core,32771,924,4997,27374,587,18560,14655,156
dotCMS/core,32561,924,4997,27374,587,18560,14655,156
microsoft/ApplicationInsights-Java,4293,312,4004,5242,54,944,3525,91
microsoft/typespec,7783,5461,1602,4712,995,2944,4897,153
microsoft/typespec,7739,5461,1602,4712,995,2944,4897,153
valkey-io/valkey-glide,4262,637,1232,3728,157,1044,3749,96
microsoft/typespec,7661,5461,1602,4712,995,2944,4897,153
microsoft/typespec,7667,5461,1602,4712,995,2944,4897,153
microsoft/typespec,7779,5461,1602,4712,995,2944,4897,153
microsoft/typespec,7439,5461,1602,4712,995,2944,4897,153
valkey-io/valkey-glide,4456,637,1232,3728,157,1044,3749,96
microsoft/ApplicationInsights-Java,4326,312,4004,5242,54,944,3525,91
microsoft/ApplicationInsights-Java,4252,312,4004,5242,54,944,3525,91
microsoft/ApplicationInsights-Java,4257,312,4004,5242,54,944,3525,91
microsoft/typespec,7801,5461,1602,4712,995,2944,4897,153
valkey-io/valkey-glide,4407,637,1232,3728,157,1044,3749,96
Azure/azure-sdk-for-java,45795,2540,5096,33701,495,11199,35464,797
camunda/camunda,35602,3881,3531,83571,2283,11186,27630,297
microsoft/typespec,7481,5461,1602,4712,994,2945,4897,153
EduMIPS64/edumips64,1360,170,5189,1975,56,218,1147,28
microsoft/typespec,7602,5461,1602,4712,994,2945,4897,153
apolloconfig/apollo,5438,29709,3547,2972,144,3224,1793,202
valkey-io/valkey-glide,4287,637,1232,3728,157,1044,3749,96
valkey-io/valkey-glide,4288,637,1232,3728,157,1044,3749,96
valkey-io/valkey-glide,4289,637,1232,3728,157,1044,3749,96
valkey-io/valkey-glide,4290,637,1232,3728,157,1044,3749,96
microsoft/typespec,7458,5461,1602,4712,994,2945,4897,153
Azure/azure-sdk-for-java,45808,2540,5096,33701,495,11199,35464,797
objectionary/eo,4317,1302,3299,11830,74,1996,2582,88
microsoft/ApplicationInsights-Java,4269,312,4004,5242,54,944,3525,91
camunda/camunda,34932,3881,3531,83571,2283,11186,27630,297
objectionary/eo,4280,1302,3299,11830,74,1996,2582,88
objectionary/eo,4282,1302,3299,11830,74,1996,2582,88
1c-syntax/bsl-language-server,3481,357,2515,7677,408,702,2483,65
EduMIPS64/edumips64,1361,170,5189,1975,56,218,1147,28
