PR_ID,Contributors,Stars,Forks,Watchers,Duration_Days,Commits,Open_Issues,Closed_Issues,Pull_Requests
32609,156,912,477,924,4997,27374,587,18560,14655
24542,760,14760,3646,14965,3431,13831,1215,6112,16841
32771,156,912,477,924,4997,27374,587,18560,14655
32561,156,912,477,924,4997,27374,587,18560,14655
4293,91,307,207,312,4004,5242,54,944,3525
7783,153,5285,297,5461,1602,4712,995,2944,4897
7739,153,5285,297,5461,1602,4712,995,2944,4897
4262,96,538,100,637,1232,3728,157,1044,3749
7661,153,5285,297,5461,1602,4712,995,2944,4897
7667,153,5285,297,5461,1602,4712,995,2944,4897
7779,153,5285,297,5461,1602,4712,995,2944,4897
7439,153,5285,297,5461,1602,4712,995,2944,4897
4456,96,538,100,637,1232,3728,157,1044,3749
4326,91,307,207,312,4004,5242,54,944,3525
4252,91,307,207,312,4004,5242,54,944,3525
4257,91,307,207,312,4004,5242,54,944,3525
7801,153,5285,297,5461,1602,4712,995,2944,4897
4407,96,538,100,637,1232,3728,157,1044,3749
45795,797,2506,2106,2540,5096,33701,495,11199,35464
35602,297,3746,684,3881,3531,83571,2283,11186,27630
7481,153,5285,297,5461,1602,4712,994,2945,4897
1360,28,168,59,170,5189,1975,56,218,1147
7602,153,5285,297,5461,1602,4712,994,2945,4897
5438,202,29581,10227,29709,3547,2972,144,3224,1793
4287,96,538,100,637,1232,3728,157,1044,3749
4288,96,538,100,637,1232,3728,157,1044,3749
4289,96,538,100,637,1232,3728,157,1044,3749
4290,96,538,100,637,1232,3728,157,1044,3749
7458,153,5285,297,5461,1602,4712,994,2945,4897
45808,797,2506,2106,2540,5096,33701,495,11199,35464
4317,88,1239,162,1302,3299,11830,74,1996,2582
4269,91,307,207,312,4004,5242,54,944,3525
34932,297,3746,684,3881,3531,83571,2283,11186,27630
4280,88,1239,162,1302,3299,11830,74,1996,2582
4282,88,1239,162,1302,3299,11830,74,1996,2582
3481,65,340,112,357,2515,7677,408,702,2483
1361,28,168,59,170,5189,1975,56,218,1147
34576,297,3746,684,3881,3531,83571,2283,11186,27630
1321,33,1317,317,1368,2317,1951,5,319,1036
2120,45,1336,458,1371,1918,6758,24,245,2043
4262,91,307,207,312,4004,5242,54,944,3525
4377,91,307,207,312,4004,5242,54,944,3525
4471,96,538,100,637,1232,3728,157,1044,3749
7760,153,5285,297,5460,1602,4712,994,2945,4897
4481,96,538,100,637,1232,3728,157,1044,3749
2115,45,1336,458,1371,1918,6758,24,245,2043
35374,297,3746,684,3881,3531,83571,2283,11186,27630
45595,797,2506,2106,2540,5096,33701,495,11199,35464
35347,297,3746,684,3881,3531,83571,2283,11186,27630
1,3,105,5,114,134,16,1,0,4
4295,96,538,100,637,1232,3728,157,1044,3749
34581,297,3746,684,3881,3531,83571,2283,11186,27630
4462,96,538,100,637,1232,3728,157,1044,3749
45797,797,2506,2106,2540,5096,33701,495,11199,35464
45803,797,2506,2106,2540,5096,33701,495,11199,35464
3646,546,31663,8940,32182,3605,4111,64,2347,1331
3647,546,31663,8940,32182,3605,4111,64,2347,1331
3655,546,31663,8940,32182,3605,4111,64,2347,1331
3658,546,31663,8940,32182,3605,4111,64,2347,1331
4469,96,538,100,637,1232,3728,157,1044,3749
34544,297,3746,684,3881,3531,83571,2283,11186,27630
7644,153,5285,297,5460,1602,4712,994,2945,4898
