full_name,PR_ID,NumWatchers,NumDays,NumCommits,NumOpenIssues,NumClosedIssues,NumPullReqs,NumContributors
dotCMS/core,32656,924,4998,27376,591,18563,14656,156
dotCMS/core,32657,924,4998,27376,591,18563,14656,156
dotCMS/core,32658,924,4998,27376,591,18563,14657,156
dotCMS/core,32659,924,4998,27377,590,18564,14656,156
dotCMS/core,32660,924,4998,27377,590,18564,14656,156
dotCMS/core,32661,924,4998,27377,590,18564,14656,156
dotCMS/core,32662,924,4998,27377,590,18564,14656,156
dotCMS/core,32663,924,4998,27377,590,18564,14656,156
dotCMS/core,32664,924,4998,27377,590,18564,14656,156
hyperledger/besu,8904,1728,2268,6275,140,3034,6268,249
MeteorDevelopment/meteor-client,5568,3058,1843,4588,607,3384,1587,195
apache/pulsar,24145,14966,3432,13832,1214,6113,16843,760
microsoft/typespec,7651,5462,1603,4714,996,2947,4903,153
camunda/camunda,35099,3883,3532,83611,2296,11204,27659,297
microsoft/typespec,7918,5462,1603,4714,996,2947,4903,153
microsoft/typespec,7920,5462,1603,4714,996,2947,4903,153
microsoft/typespec,7922,5462,1603,4714,996,2947,4903,153
microsoft/typespec,7431,5462,1603,4714,996,2947,4903,153
camunda/camunda,34153,3883,3532,83611,2296,11204,27659,297
valkey-io/valkey-glide,4263,637,1233,3728,153,1049,3749,96
valkey-io/valkey-glide,4264,637,1233,3728,153,1049,3749,96
valkey-io/valkey-glide,4265,637,1233,3728,153,1049,3749,96
Azure/azure-sdk-for-java,45606,2541,5097,33706,496,11199,35468,797
Azure/azure-sdk-for-java,45609,2541,5097,33706,496,11199,35468,797
microsoft/typespec,7662,5462,1603,4714,996,2947,4903,153
microsoft/typespec,7664,5462,1603,4714,996,2947,4903,153
microsoft/typespec,7666,5462,1603,4714,996,2947,4903,153
valkey-io/valkey-glide,4464,637,1233,3728,153,1049,3749,96
valkey-io/valkey-glide,4465,637,1233,3728,153,1049,3749,96
Azure/azure-sdk-for-java,45451,2541,5097,33706,496,11199,35468,797
microsoft/typespec,7391,5462,1603,4714,996,2947,4903,153
microsoft/typespec,7493,5462,1603,4714,996,2947,4903,153
microsoft/ApplicationInsights-Java,4311,312,4005,5242,54,944,3525,91
akto-api-security/akto,2620,1397,1024,9254,83,89,3413,56
akto-api-security/akto,2624,1397,1024,9254,83,89,3413,56
RyanSusana/elepy,181,151,2766,1783,12,82,88,10
RyanSusana/elepy,182,151,2766,1783,12,82,88,10
trinodb/trino,26149,12184,2497,43519,2342,5237,19098,1101
microsoft/ApplicationInsights-Java,4324,312,4005,5242,54,944,3525,91
microsoft/ApplicationInsights-Java,4325,312,4005,5242,54,944,3525,91
microsoft/typespec,7798,5462,1603,4714,996,2947,4903,153
microsoft/ApplicationInsights-Java,4254,312,4005,5242,54,944,3525,91
microsoft/ApplicationInsights-Java,4255,312,4005,5242,54,944,3525,91
microsoft/typespec,7942,5462,1603,4715,997,2947,4903,154
Azure/azure-sdk-for-java,45484,2541,5097,33706,496,11199,35469,797
microsoft/typespec,7535,5462,1603,4715,997,2947,4903,154
hyperxpro/Brotli4j,217,139,1863,205,4,39,188,23
hyperxpro/Brotli4j,218,139,1863,205,4,39,188,23
akto-api-security/akto,2674,1397,1024,9254,83,89,3413,56
YunaiV/ruoyi-vue-pro,907,34247,1761,10133,19,683,222,376
YunaiV/ruoyi-vue-pro,908,34247,1761,10133,19,683,222,376
mixpanel/mixpanel-android,866,1040,5586,2231,11,468,392,78
microsoft/typespec,7729,5462,1603,4715,997,2947,4903,154
EduMIPS64/edumips64,1366,170,5190,1988,56,218,1159,28
1c-syntax/bsl-language-server,3486,357,2516,7695,406,704,2485,65
camunda/camunda,34762,3883,3532,83611,2296,11204,27660,297
binarywang/WxJava,3663,32188,3606,4111,66,2347,1331,546
AutoMQ/automq,2652,7883,826,15167,56,517,2429,1527
jenkinsci/jira-plugin,715,173,5456,1649,42,45,665,131
Azure/azure-sdk-for-java,45809,2541,5097,33706,496,11199,35469,797
1c-syntax/bsl-language-server,3483,357,2516,7695,406,704,2485,65
camunda/camunda,34168,3883,3532,83611,2296,11204,27660,297
microsoft/ApplicationInsights-Java,4303,312,4005,5242,54,944,3525,91
microsoft/ApplicationInsights-Java,4270,312,4005,5242,54,944,3525,91
objectionary/eo,4281,1302,3300,11838,75,1996,2587,88
objectionary/eo,4283,1302,3300,11838,75,1996,2587,88
microsoft/typespec,7771,5462,1603,4715,997,2947,4903,154
valkey-io/valkey-glide,4273,637,1233,3728,154,1049,3749,96
halo-dev/halo,7645,37319,2801,5799,301,4095,2999,158
qaiu/netdisk-fast-download,111,2405,945,519,13,82,40,9
microsoft/typespec,7553,5462,1603,4715,997,2947,4903,154
objectionary/eo,4320,1302,3300,11838,75,1996,2587,88
microsoft/ApplicationInsights-Java,4260,312,4005,5242,54,944,3525,91
wso2/product-is,24528,825,4231,17430,1400,15816,8939,729
microsoft/ApplicationInsights-Java,4307,312,4005,5242,54,944,3525,91
microsoft/ApplicationInsights-Java,4308,312,4005,5242,54,944,3525,91
halo-dev/halo,7612,37319,2801,5799,301,4095,2999,158
microsoft/typespec,7611,5462,1603,4715,997,2947,4903,154
microsoft/typespec,7612,5462,1603,4715,997,2947,4903,154
camunda/camunda,35372,3883,3532,83611,2296,11204,27660,297
valkey-io/valkey-glide,4463,637,1233,3728,154,1049,3749,96
EduMIPS64/edumips64,1384,170,5190,1988,56,218,1159,28
valkey-io/valkey-glide,4515,637,1233,3728,154,1049,3749,96
CarGuo/GSYVideoPlayer,4150,21240,3294,1646,14,3877,70,27
camunda/camunda,35209,3883,3532,83611,2296,11204,27660,297
