full_name,number
dotCMS/core,32609
apache/pulsar,24542
dotCMS/core,32771
dotCMS/core,32561
microsoft/ApplicationInsights-Java,4293
microsoft/typespec,7783
microsoft/typespec,7739
valkey-io/valkey-glide,4262
microsoft/typespec,7661
microsoft/typespec,7667
microsoft/typespec,7779
microsoft/typespec,7439
valkey-io/valkey-glide,4456
microsoft/ApplicationInsights-Java,4326
microsoft/ApplicationInsights-Java,4252
microsoft/ApplicationInsights-Java,4257
microsoft/typespec,7801
valkey-io/valkey-glide,4407
Azure/azure-sdk-for-java,45795
camunda/camunda,35602
microsoft/typespec,7481
EduMIPS64/edumips64,1360
microsoft/typespec,7602
apolloconfig/apollo,5438
valkey-io/valkey-glide,4287
valkey-io/valkey-glide,4288
valkey-io/valkey-glide,4289
valkey-io/valkey-glide,4290
microsoft/typespec,7458
Azure/azure-sdk-for-java,45808
objectionary/eo,4317
microsoft/ApplicationInsights-Java,4269
camunda/camunda,34932
objectionary/eo,4280
objectionary/eo,4282
1c-syntax/bsl-language-server,3481
EduMIPS64/edumips64,1361
camunda/camunda,34576
wgzhao/Addax,1321
OWASP/wrongsecrets,2120
microsoft/ApplicationInsights-Java,4262
microsoft/ApplicationInsights-Java,4377
valkey-io/valkey-glide,4471
microsoft/typespec,7760
valkey-io/valkey-glide,4481
OWASP/wrongsecrets,2115
camunda/camunda,35374
Azure/azure-sdk-for-java,45595
camunda/camunda,35347
W1LDN16H7/JPL,1
valkey-io/valkey-glide,4295
camunda/camunda,34581
valkey-io/valkey-glide,4462
Azure/azure-sdk-for-java,45797
Azure/azure-sdk-for-java,45803
binarywang/WxJava,3646
binarywang/WxJava,3647
binarywang/WxJava,3655
binarywang/WxJava,3658
valkey-io/valkey-glide,4469
camunda/camunda,34544
microsoft/typespec,7644
microsoft/typespec,7735
microsoft/typespec,7927
valkey-io/valkey-glide,4353
microsoft/typespec,7755
valkey-io/valkey-glide,4324
microsoft/typespec,8008
wgzhao/dbeaver-agent,22
OWASP/wrongsecrets,2117
microsoft/ApplicationInsights-Java,4328
microsoft/typespec,7426
microsoft/typespec,7967
camunda/camunda,35007
EduMIPS64/edumips64,1363
EduMIPS64/edumips64,1364
valkey-io/valkey-glide,4376
valkey-io/valkey-glide,4377
valkey-io/valkey-glide,4380
valkey-io/valkey-glide,4381
valkey-io/valkey-glide,4384
valkey-io/valkey-glide,4386
OpenHFT/Chronicle-Core,747
OpenHFT/Chronicle-Core,749
jdereg/java-util,149
jdereg/java-util,147
jdereg/java-util,146
jdereg/java-util,141
jdereg/java-util,139
jdereg/java-util,293
jdereg/java-util,294
jdereg/java-util,315
OpenHFT/Java-Thread-Affinity,152
OpenHFT/Java-Thread-Affinity,155
OpenHFT/Chronicle-Core,737
OpenHFT/Chronicle-Bytes,677
jdereg/java-util,245
jdereg/java-util,257
OpenHFT/Chronicle-Core,755
OpenHFT/Chronicle-Core,757
OpenHFT/Chronicle-Core,764
OpenHFT/Chronicle-Core,782
OpenHFT/Chronicle-Core,792
OpenHFT/Chronicle-Core,807
halilozel1903/AndroidTVMovieParadise,17
halilozel1903/AndroidTVMovieParadise,19
jdereg/json-io,408
jdereg/json-io,407
jdereg/json-io,405
jdereg/json-io,378
VerisimilitudeX/DNAnalyzer,527
jdereg/json-io,322
OpenHFT/Chronicle-Bytes,657
OpenHFT/Chronicle-Bytes,659
OpenHFT/Chronicle-Bytes,660
jdereg/java-util,274
jdereg/java-util,273
jdereg/java-util,272
jdereg/java-util,140
OpenHFT/Chronicle-Threads,328
OpenHFT/Chronicle-Wire,997
OpenHFT/Chronicle-Wire,998
OpenHFT/Chronicle-Wire,999
halilozel1903/AndroidTVMovieParadise,13
jdereg/java-util,204
jdereg/java-util,207
OpenHFT/Java-Thread-Affinity,168
OpenHFT/Java-Thread-Affinity,173
jdereg/java-util,208
jdereg/java-util,209
jdereg/java-util,210
jdereg/java-util,211
jdereg/java-util,212
jdereg/java-util,213
jdereg/java-util,215
jdereg/java-util,246
jdereg/java-util,247
jdereg/java-util,248
jdereg/java-util,249
jdereg/java-util,254
OpenHFT/Chronicle-Values,159
Camelcade/Perl5-IDEA,3002
jdereg/java-util,348
jdereg/java-util,349
jdereg/java-util,350
jdereg/java-util,351
jdereg/java-util,152
OpenHFT/Chronicle-Threads,275
OpenHFT/Chronicle-Threads,282
jdereg/java-util,360
jdereg/java-util,270
OpenHFT/Java-Thread-Affinity,139
OpenHFT/Java-Thread-Affinity,141
OpenHFT/Java-Thread-Affinity,150
jdereg/json-io,418
OpenHFT/Chronicle-Threads,277
OpenHFT/Chronicle-Threads,280
Camelcade/Perl5-IDEA,3004
Stirling-Tools/Stirling-PDF,3557
OpenHFT/Chronicle-Wire,1100
jdereg/java-util,277
traccar/traccar,5570
OpenHFT/Java-Thread-Affinity,167
OpenHFT/Java-Thread-Affinity,169
OpenHFT/Chronicle-Values,92
OpenHFT/Chronicle-Values,104
OpenHFT/Chronicle-Values,109
OpenHFT/Chronicle-Values,123
OpenHFT/Chronicle-Values,135
OpenHFT/Chronicle-Values,136
OpenHFT/Chronicle-Values,138
OpenHFT/Chronicle-Values,142
OpenHFT/Chronicle-Values,144
OpenHFT/Chronicle-Values,148
OpenHFT/Chronicle-Values,150
OpenHFT/Chronicle-Values,153
jdereg/json-io,325
jdereg/json-io,328
jdereg/json-io,332
USS-Shenzhou/MadParticle,18
halilozel1903/AndroidTVMovieParadise,8
halilozel1903/AndroidTVMovieParadise,21
jdereg/java-util,317
jdereg/java-util,318
jdereg/java-util,319
jdereg/java-util,320
VerisimilitudeX/DNAnalyzer,524
VerisimilitudeX/DNAnalyzer,525
jdereg/json-io,409
jdereg/java-util,225
OpenHFT/Java-Thread-Affinity,140
OpenHFT/Java-Thread-Affinity,148
OpenHFT/Chronicle-Wire,1096
VerisimilitudeX/DNAnalyzer,502
VerisimilitudeX/DNAnalyzer,506
SimonHalvdansson/Harmonic-HN,212
jdereg/json-io,330
jdereg/json-io,331
jdereg/json-io,333
jdereg/json-io,336
OpenHFT/Chronicle-Logger,144
OpenHFT/Chronicle-Logger,145
OpenHFT/Chronicle-Logger,147
OpenHFT/Chronicle-Logger,149
OpenHFT/Chronicle-Logger,154
OpenHFT/Chronicle-Logger,157
OpenHFT/Chronicle-Logger,159
OpenHFT/Chronicle-Logger,160
OpenHFT/Chronicle-Logger,166
OpenHFT/Chronicle-Logger,170
OpenHFT/Chronicle-Logger,171
OpenHFT/Chronicle-Logger,172
OpenHFT/Chronicle-Logger,173
OpenHFT/Chronicle-Logger,174
OpenHFT/Chronicle-Logger,175
OpenHFT/Chronicle-Logger,177
OpenHFT/Chronicle-Logger,178
OpenHFT/Chronicle-Logger,181
OpenHFT/Chronicle-Logger,185
OpenHFT/Chronicle-Logger,189
OpenHFT/Chronicle-Wire,1122
OpenHFT/Chronicle-Wire,1123
