Repo,PR_number,Commits,Additions,Deletions,Files_Changed,Comments,Formal_Review,Inline_Comments_Review,NumPathsInFile,AvgPathCharLength,MaxPathCharLength
dotCMS/core,32609,4,3244,17,9,2,7.0,11,9,22.88888888888889,31
apache/pulsar,24542,2,942,22,4,4,3.0,0,4,103.25,117
dotCMS/core,32771,6,266,172,2,1,6.0,3,2,32.5,42
dotCMS/core,32561,6,5741,18,126,3,7.0,2,126,84.53968253968254,114
microsoft/ApplicationInsights-Java,4293,2,1,0,1,0,0.0,0,1,117.0,117
microsoft/typespec,7783,5,19,6,2,4,5.0,2,2,42.5,45
microsoft/typespec,7739,6,226,0,2,0,9.0,6,2,106.5,109
valkey-io/valkey-glide,4262,4,10,0,1,0,4.0,2,1,9.0,9
microsoft/typespec,7661,9,16,14,5,5,13.0,10,5,60.2,86
microsoft/typespec,7667,4,13,5,3,2,5.0,0,3,50.333333333333336,66
microsoft/typespec,7779,8,147,8,2,1,13.0,8,2,67.5,83
microsoft/typespec,7439,26,106,0,3,2,71.0,67,3,33.333333333333336,42
valkey-io/valkey-glide,4456,4,20,5,2,0,0.0,0,2,21.5,26
microsoft/ApplicationInsights-Java,4326,5,395,184,6,2,3.0,0,6,103.66666666666667,112
microsoft/ApplicationInsights-Java,4252,4,6,7,3,14,9.0,6,3,85.33333333333333,116
microsoft/ApplicationInsights-Java,4257,14,18,11,8,10,9.0,8,8,86.125,128
microsoft/typespec,7801,9,2063,49,27,8,6.0,2,27,137.40740740740742,198
valkey-io/valkey-glide,4407,7,6,5,4,0,10.0,8,4,24.0,28
Azure/azure-sdk-for-java,45795,8,29,28,6,5,12.0,9,6,84.33333333333333,99
camunda/camunda,35602,3,43,12,4,11,4.0,2,4,69.0,76
microsoft/typespec,7481,6,21,13,14,7,9.0,6,14,53.142857142857146,86
EduMIPS64/edumips64,1360,11,317,295,11,7,13.0,17,11,51.54545454545455,55
microsoft/typespec,7602,20,672,0,6,11,43.0,40,6,56.5,79
apolloconfig/apollo,5438,2,19,0,1,7,4.0,0,1,7.0,7
valkey-io/valkey-glide,4287,11,309,59,2,5,11.0,13,2,45.5,63
valkey-io/valkey-glide,4288,4,19,14,5,0,3.0,1,5,17.4,19
valkey-io/valkey-glide,4289,15,88,18,1,10,3.0,4,1,24.0,24
valkey-io/valkey-glide,4290,2,1,2,1,0,2.0,0,1,25.0,25
microsoft/typespec,7458,5,3613,5609,17,3,0.0,0,17,91.6470588235294,117
Azure/azure-sdk-for-java,45808,3,1,4,2,0,4.0,2,2,34.5,43
objectionary/eo,4317,5,9,51,9,12,2.0,0,9,60.888888888888886,79
microsoft/ApplicationInsights-Java,4269,7,104,52,3,4,11.0,9,3,103.33333333333333,111
camunda/camunda,34932,15,327,3,9,3,6.0,2,9,94.0,104
objectionary/eo,4280,6,11,8,2,14,3.0,0,2,68.0,73
objectionary/eo,4282,2,1,0,1,2,2.0,0,1,11.0,11
1c-syntax/bsl-language-server,3481,11,69,7,5,12,26.0,26,5,99.2,106
EduMIPS64/edumips64,1361,3,22,0,1,2,3.0,2,1,41.0,41
camunda/camunda,34576,12,128,41,10,5,3.0,5,10,87.9,106
wgzhao/Addax,1321,15,15064,26,164,10,2.0,2,164,29.164634146341463,37
OWASP/wrongsecrets,2120,8,409,1,4,10,0.0,0,4,21.25,40
microsoft/ApplicationInsights-Java,4262,10,22,8,5,10,18.0,14,5,23.2,34
microsoft/ApplicationInsights-Java,4377,2,2,2,1,0,3.0,0,1,111.0,111
valkey-io/valkey-glide,4471,2,78,7,3,0,2.0,0,3,27.666666666666668,29
microsoft/typespec,7760,21,174,81,6,10,32.0,32,6,59.166666666666664,66
valkey-io/valkey-glide,4481,2,9,2,1,0,2.0,0,1,28.0,28
OWASP/wrongsecrets,2115,3,138,1,2,5,2.0,0,2,27.5,46
camunda/camunda,35374,14,294,11,30,5,19.0,34,30,101.6,117
Azure/azure-sdk-for-java,45595,17,1,9,1,13,18.0,16,1,35.0,35
camunda/camunda,35347,9,232,1,3,1,16.0,19,3,95.33333333333333,104
W1LDN16H7/JPL,1,1,0,0,0,0,0.0,0,0,0.0,0
valkey-io/valkey-glide,4295,8,3,3,1,6,2.0,0,1,44.0,44
camunda/camunda,34581,22,129,559,7,23,29.0,32,7,43.42857142857143,46
valkey-io/valkey-glide,4462,2,1,1,1,0,0.0,0,1,68.0,68
Azure/azure-sdk-for-java,45797,11,33,33,18,6,4.0,2,18,96.66666666666667,117
Azure/azure-sdk-for-java,45803,5,2,2,1,0,6.0,3,1,18.0,18
binarywang/WxJava,3646,4,82,3,4,0,0.0,0,4,94.5,102
binarywang/WxJava,3647,3,529,3,5,0,0.0,0,5,68.8,102
binarywang/WxJava,3655,4,218,4,7,0,0.0,0,7,102.42857142857143,110
