full_name,number
dotCMS/core,32656
dotCMS/core,32657
dotCMS/core,32658
dotCMS/core,32659
dotCMS/core,32660
dotCMS/core,32661
dotCMS/core,32662
dotCMS/core,32663
dotCMS/core,32664
hyperledger/besu,8904
MeteorDevelopment/meteor-client,5568
apache/pulsar,24145
microsoft/typespec,7651
camunda/camunda,35099
microsoft/typespec,7918
microsoft/typespec,7920
microsoft/typespec,7922
microsoft/typespec,7431
camunda/camunda,34153
valkey-io/valkey-glide,4263
valkey-io/valkey-glide,4264
valkey-io/valkey-glide,4265
Azure/azure-sdk-for-java,45606
Azure/azure-sdk-for-java,45609
microsoft/typespec,7662
microsoft/typespec,7664
microsoft/typespec,7666
valkey-io/valkey-glide,4464
valkey-io/valkey-glide,4465
Azure/azure-sdk-for-java,45451
microsoft/typespec,7391
microsoft/typespec,7493
microsoft/ApplicationInsights-Java,4311
akto-api-security/akto,2620
akto-api-security/akto,2624
RyanSusana/elepy,181
RyanSusana/elepy,182
trinodb/trino,26149
microsoft/ApplicationInsights-Java,4324
microsoft/ApplicationInsights-Java,4325
microsoft/typespec,7798
microsoft/ApplicationInsights-Java,4254
microsoft/ApplicationInsights-Java,4255
microsoft/typespec,7942
Azure/azure-sdk-for-java,45484
microsoft/typespec,7535
hyperxpro/Brotli4j,217
hyperxpro/Brotli4j,218
akto-api-security/akto,2674
YunaiV/ruoyi-vue-pro,907
YunaiV/ruoyi-vue-pro,908
mixpanel/mixpanel-android,866
microsoft/typespec,7729
EduMIPS64/edumips64,1366
1c-syntax/bsl-language-server,3486
camunda/camunda,34762
binarywang/WxJava,3663
AutoMQ/automq,2652
jenkinsci/jira-plugin,715
Azure/azure-sdk-for-java,45809
1c-syntax/bsl-language-server,3483
camunda/camunda,34168
microsoft/ApplicationInsights-Java,4303
microsoft/ApplicationInsights-Java,4270
objectionary/eo,4281
objectionary/eo,4283
microsoft/typespec,7771
valkey-io/valkey-glide,4273
halo-dev/halo,7645
qaiu/netdisk-fast-download,111
microsoft/typespec,7553
objectionary/eo,4320
microsoft/ApplicationInsights-Java,4260
wso2/product-is,24528
microsoft/ApplicationInsights-Java,4307
microsoft/ApplicationInsights-Java,4308
halo-dev/halo,7612
microsoft/typespec,7611
microsoft/typespec,7612
camunda/camunda,35372
valkey-io/valkey-glide,4463
EduMIPS64/edumips64,1384
valkey-io/valkey-glide,4515
CarGuo/GSYVideoPlayer,4150
camunda/camunda,35209
apolloconfig/apollo,5437
OWASP/wrongsecrets,2121
halo-dev/halo,7644
microsoft/typespec,7984
microsoft/HydraLab,694
microsoft/HydraLab,695
OWASP/wrongsecrets,2127
yegor256/cactoos,1804
yegor256/cactoos,1805
Azure/azure-sdk-for-java,45796
Azure/azure-sdk-for-java,45800
Azure/azure-sdk-for-java,45801
Azure/azure-sdk-for-java,45806
binarywang/WxJava,3648
binarywang/WxJava,3649
binarywang/WxJava,3650
binarywang/WxJava,3651
binarywang/WxJava,3652
binarywang/WxJava,3653
binarywang/WxJava,3654
binarywang/WxJava,3656
binarywang/WxJava,3657
binarywang/WxJava,3659
microsoft/semantic-kernel-java,326
mixpanel/mixpanel-android,862
microsoft/ApplicationInsights-Java,4337
microsoft/ApplicationInsights-Java,4338
microsoft/typespec,7619
microsoft/typespec,7749
valkey-io/valkey-glide,4486
vaadin/flow,21820
vaadin/flow,21822
vaadin/flow,21823
vaadin/flow,21824
microsoft/typespec,8029
microsoft/typespec,7397
camunda/camunda,35632
microsoft/ApplicationInsights-Java,4322
apolloconfig/apollo,5419
camunda/camunda,35422
Azure/azure-sdk-for-java,45590
feiyuchuixue/sz-boot-parent,200
microsoft/typespec,7423
microsoft/typespec,7425
microsoft/typespec,7744
microsoft/ApplicationInsights-Java,4268
tonihele/OpenKeeper,489
camunda/camunda,34672
camunda/camunda,35143
W1LDN16H7/JPL,3
geoserver/geoserver,8663
valkey-io/valkey-glide,4378
valkey-io/valkey-glide,4379
valkey-io/valkey-glide,4382
valkey-io/valkey-glide,4383
valkey-io/valkey-glide,4385
valkey-io/valkey-glide,4387
valkey-io/valkey-glide,4388
valkey-io/valkey-glide,4389
valkey-io/valkey-glide,4390
camunda/camunda,35888
Azure-Samples/azure-search-openai-demo-java,111
camunda/camunda,35889
