full_name,issue_number,pr_number
apache/pulsar,23190,24542
1c-syntax/bsl-language-server,3390,3481
Azure/azure-sdk-for-java,42765,45797
Azure/azure-sdk-for-java,45594,45595
Azure/azure-sdk-for-java,45762,45795
Azure/azure-sdk-for-java,45802,45803
EduMIPS64/edumips64,1321,1364
EduMIPS64/edumips64,1334,1360
EduMIPS64/edumips64,1362,1363
OWASP/wrongsecrets,424,2120
OWASP/wrongsecrets,2114,2115
OWASP/wrongsecrets,2116,2117
apolloconfig/apollo,5434,5438
binarywang/WxJava,3567,3658
binarywang/WxJava,3621,3655
binarywang/WxJava,3641,3647
binarywang/WxJava,3644,3646
camunda/camunda,30604,34581
camunda/camunda,31600,35347
camunda/camunda,31882,34576
camunda/camunda,33680,34544
camunda/camunda,34383,34932
camunda/camunda,34385,35374
camunda/camunda,34759,35007
camunda/camunda,35601,35602
microsoft/ApplicationInsights-Java,4251,4252
microsoft/ApplicationInsights-Java,4256,4257
microsoft/ApplicationInsights-Java,4261,4262
microsoft/ApplicationInsights-Java,4327,4328
microsoft/typespec,5058,7439
microsoft/typespec,7110,7426
microsoft/typespec,7457,7458
microsoft/typespec,7479,7481
microsoft/typespec,7502,7760
microsoft/typespec,7601,7602
microsoft/typespec,7610,7667
microsoft/typespec,7610,7735
microsoft/typespec,7643,7644
microsoft/typespec,7660,7661
microsoft/typespec,7738,7739
microsoft/typespec,7753,7755
microsoft/typespec,7778,7779
microsoft/typespec,7782,7783
microsoft/typespec,7800,7801
microsoft/typespec,7926,7927
microsoft/typespec,7966,7967
microsoft/typespec,8007,8008
objectionary/eo,4091,4282
objectionary/eo,4232,4280
objectionary/eo,4316,4317
valkey-io/valkey-glide,3430,4386
valkey-io/valkey-glide,3827,4384
valkey-io/valkey-glide,3986,4376
valkey-io/valkey-glide,4111,4262
valkey-io/valkey-glide,4191,4290
valkey-io/valkey-glide,4193,4289
valkey-io/valkey-glide,4249,4288
valkey-io/valkey-glide,4286,4287
valkey-io/valkey-glide,4294,4295
valkey-io/valkey-glide,4352,4353
valkey-io/valkey-glide,4360,4381
valkey-io/valkey-glide,4362,4380
valkey-io/valkey-glide,4366,4377
valkey-io/valkey-glide,4406,4407
valkey-io/valkey-glide,4455,4456
valkey-io/valkey-glide,4461,4462
valkey-io/valkey-glide,4468,4469
valkey-io/valkey-glide,4470,4471
valkey-io/valkey-glide,4480,4481
