full_name,issue_number,pr_number
apache/pulsar,24138,24145
1c-syntax/bsl-language-server,3482,3483
1c-syntax/bsl-language-server,3485,3486
AutoMQ/automq,2650,2652
Azure-Samples/azure-search-openai-demo-java,54,111
Azure/azure-sdk-for-java,44602,45806
Azure/azure-sdk-for-java,44744,45796
Azure/azure-sdk-for-java,45283,45590
Azure/azure-sdk-for-java,45483,45484
Azure/azure-sdk-for-java,45605,45606
Azure/azure-sdk-for-java,45608,45609
Azure/azure-sdk-for-java,45673,45801
Azure/azure-sdk-for-java,45799,45800
EduMIPS64/edumips64,1365,1366
OWASP/wrongsecrets,709,2121
OWASP/wrongsecrets,2126,2127
RyanSusana/elepy,180,181
RyanSusana/elepy,180,182
W1LDN16H7/JPL,2,3
akto-api-security/akto,2535,2620
akto-api-security/akto,2623,2624
akto-api-security/akto,2673,2674
apolloconfig/apollo,4697,5419
apolloconfig/apollo,5435,5437
binarywang/WxJava,3565,3659
binarywang/WxJava,3570,3657
binarywang/WxJava,3611,3656
binarywang/WxJava,3618,3653
binarywang/WxJava,3628,3652
binarywang/WxJava,3629,3654
binarywang/WxJava,3630,3651
binarywang/WxJava,3631,3650
binarywang/WxJava,3634,3649
binarywang/WxJava,3640,3648
binarywang/WxJava,3662,3663
camunda/camunda,32318,34168
camunda/camunda,33678,35888
camunda/camunda,33880,35889
camunda/camunda,33982,34153
camunda/camunda,34537,34762
camunda/camunda,34540,34672
camunda/camunda,34800,35209
camunda/camunda,35032,35099
camunda/camunda,35371,35372
camunda/camunda,35421,35632
camunda/camunda,35421,35422
halo-dev/halo,7593,7645
halo-dev/halo,7593,7644
hyperxpro/Brotli4j,142,218
jenkinsci/jira-plugin,714,715
microsoft/ApplicationInsights-Java,4253,4254
microsoft/ApplicationInsights-Java,4253,4255
microsoft/ApplicationInsights-Java,4259,4260
microsoft/ApplicationInsights-Java,4267,4268
microsoft/ApplicationInsights-Java,4283,4310
microsoft/ApplicationInsights-Java,4306,4308
microsoft/semantic-kernel-java,323,326
microsoft/typespec,1919,7397
microsoft/typespec,6465,7425
microsoft/typespec,6732,7651
microsoft/typespec,6732,7493
microsoft/typespec,7283,7423
microsoft/typespec,7367,7391
microsoft/typespec,7420,7431
microsoft/typespec,7519,7535
microsoft/typespec,7547,7553
microsoft/typespec,7610,7662
microsoft/typespec,7610,7664
microsoft/typespec,7610,7666
microsoft/typespec,7610,7611
microsoft/typespec,7610,7612
microsoft/typespec,7618,7619
microsoft/typespec,7685,7771
microsoft/typespec,7728,7729
microsoft/typespec,7742,7744
microsoft/typespec,7748,7749
microsoft/typespec,7797,7798
microsoft/typespec,7917,7918
microsoft/typespec,7919,7920
microsoft/typespec,7921,7922
microsoft/typespec,7941,7942
microsoft/typespec,7983,7984
microsoft/typespec,8028,8029
mixpanel/mixpanel-android,855,866
mixpanel/mixpanel-android,856,862
objectionary/eo,3584,4283
objectionary/eo,4140,4281
objectionary/eo,4319,4320
tonihele/OpenKeeper,486,489
vaadin/flow,19264,21824
vaadin/flow,20485,21822
vaadin/flow,20488,21820
vaadin/flow,20782,21823
valkey-io/valkey-glide,2642,4387
valkey-io/valkey-glide,3064,4388
valkey-io/valkey-glide,3426,4390
valkey-io/valkey-glide,3597,4385
valkey-io/valkey-glide,3977,4389
valkey-io/valkey-glide,3987,4264
valkey-io/valkey-glide,4073,4263
valkey-io/valkey-glide,4358,4383
valkey-io/valkey-glide,4359,4382
valkey-io/valkey-glide,4363,4379
valkey-io/valkey-glide,4364,4378
valkey-io/valkey-glide,4485,4486
valkey-io/valkey-glide,4514,4515
wso2/product-is,24504,24528
yegor256/cactoos,1630,1805
yegor256/cactoos,1645,1804
StarRocks/starrocks,7483,61219
StarRocks/starrocks,52446,61244
StarRocks/starrocks,57086,61403
StarRocks/starrocks,61393,61394
