Repo,Contributors,Stars,Forks,Watchers,Duration_Days,Commits,Open_Issues,Closed_Issues,Pull_Requests
Camelcade/Perl5-IDEA,26,411,75,416,3867,8124,969,1739,368
DataDog/dd-trace-java,247,654,311,674,3124,16094,235,576,9123
EduMIPS64/edumips64,28,168,59,169,5182,1975,56,218,1147
JetBrains/psiviewer,11,199,42,202,5341,226,13,33,70
OWASP/wrongsecrets,45,1336,458,1369,1911,6750,24,245,2033
OpenHFT/Chronicle-Bytes,45,420,87,430,3914,3944,2,307,401
OpenHFT/Chronicle-Core,60,609,134,617,3914,3992,7,319,507
OpenHFT/Chronicle-Logger,30,230,62,231,4128,820,1,32,0
OpenHFT/Chronicle-Threads,34,186,61,189,3914,1785,0,0,0
OpenHFT/Chronicle-Values,29,107,38,111,3914,556,0,0,0
