Repo,Contributors,Stars,Forks,Watchers,Duration_Days,Commits,Open_Issues,Closed_Issues,Pull_Requests
Camelcade/Perl5-IDEA,26,411,75,416,3867,8124,969,1739,367
DataDog/dd-trace-java,247,654,311,674,3124,16094,235,576,9123
EduMIPS64/edumips64,28,168,59,169,5182,1975,56,218,1147
JetBrains/psiviewer,11,199,42,202,5341,226,13,33,70
OWASP/wrongsecrets,45,1336,458,1369,1911,6750,24,245,2033
OpenHFT/Chronicle-Bytes,45,420,87,430,3914,3944,2,307,401
OpenHFT/Chronicle-Core,60,609,134,617,3914,3992,7,319,507
OpenHFT/Chronicle-Logger,30,230,62,231,4128,820,1,32,0
OpenHFT/Chronicle-Threads,34,186,61,189,3914,1785,0,0,0
OpenHFT/Chronicle-Values,29,107,38,111,3914,556,0,0,0
OpenHFT/Chronicle-Wire,55,557,132,565,3954,5651,0,0,0
OpenHFT/Java-Runtime-Compiler,37,690,148,691,4433,346,0,0,0
OpenHFT/Java-Thread-Affinity,41,1854,372,1878,4436,681,0,0,0
Photon-GitHub/AntiCheatAddition,10,169,54,174,3247,1967,0,0,0
SimonHalvdansson/Harmonic-HN,32,746,52,828,904,650,0,0,0
Stirling-Tools/Stirling-PDF,274,63892,5443,69706,1020,4151,0,0,0
USS-Shenzhou/MadParticle,4,200,4,211,1178,352,0,0,0
VerisimilitudeX/DNAnalyzer,54,155,67,165,1200,1690,0,0,0
W1LDN16H7/JPL,3,105,5,114,127,16,0,0,0
apache/pinot,447,5851,1401,5945,4195,14286,0,0,0
apache/pulsar,760,14760,3646,14955,3424,13818,0,0,0
cwuom/ono,2,133,26,158,304,126,0,0,0
datahub-project/datahub,670,10890,3176,11211,3647,13212,0,0,0
freeplane/freeplane,412,3306,417,3647,4808,18351,0,0,0
halilozel1903/AndroidTVMovieParadise,1,179,67,189,2173,113,0,0,0
jdereg/java-util,22,428,110,430,4449,2320,0,0,0
jdereg/json-io,46,337,114,342,4452,2423,0,0,0
kongzue/DialogX,10,2250,234,2299,1873,816,0,0,0
lunasaw/gb28181-proxy,4,113,26,134,763,312,0,0,0
objectionary/eo,87,1239,162,1298,3292,11809,0,0,0
operaton/operaton,409,186,46,268,393,22076,0,0,0
plantuml/plantuml,110,11894,1070,12266,5487,2432,0,0,0
sakaiproject/sakai,339,1161,987,1189,3971,54787,0,0,0
traccar/traccar,229,6182,2867,6639,4958,9397,0,0,0
valkey-io/valkey-glide,94,538,100,632,1225,3725,0,0,0
wgzhao/Addax,33,1317,317,1366,2310,1948,0,0,1036
wgzhao/dbeaver-agent,4,274,98,505,856,44,4,16,7
xpinjection/test-driven-spring-boot,4,106,85,111,3046,171,0,0,16
