Repo,Contributors,Stars,Forks,Watchers,Duration_Days,Commits,Open_Issues,Closed_Issues,Pull_Requests
1c-syntax/bsl-language-server,65,340,112,357,2508,7618,0,0,0
2006-Scape/2006Scape,33,204,178,218,2339,653,0,0,0
AutoMQ/automq,1527,6819,471,7699,818,15154,0,0,0
Azure-Samples/azure-search-openai-demo-java,56,109,91,122,799,572,0,0,0
Azure/azure-sdk-for-java,795,2506,2106,2539,5090,33648,0,0,0
CarGuo/GSYVideoPlayer,27,21004,4291,21224,3286,1644,0,0,0
GrimAnticheat/Grim,107,1319,422,1406,1725,4528,0,0,0
Igalia/wolvic,93,898,118,912,1422,3652,0,0,0
Kaljurand/K6nele,3,283,82,286,5075,519,0,0,0
MeteorDevelopment/meteor-client,195,2823,1149,3045,1835,4582,0,0,0
