Repo,Contributors,Stars,Forks,Watchers,Duration_Days,Commits,Open_Issues,Closed_Issues,Pull_Requests
dotCMS/core,156,912,477,923,4990,27356,581,18530,14635
MeteorDevelopment/meteor-client,195,2823,1149,3046,1835,4582,604,3376,1581
hyperledger/besu,246,1671,948,1724,2260,6251,132,3020,6238
apache/pulsar,760,14760,3646,14955,3424,13818,1211,6112,16822
wso2/product-is,729,799,820,824,4223,17386,1377,15797,8921
valkey-io/valkey-glide,93,538,100,632,1225,3723,156,1033,3736
YunaiV/ruoyi-vue-pro,376,32556,6997,34116,1753,10133,18,679,218
binarywang/WxJava,546,31663,8940,32145,3598,4098,75,2335,0
CarGuo/GSYVideoPlayer,27,21004,4291,21224,3286,1644,0,0,0
EduMIPS64/edumips64,28,168,59,169,5182,1975,0,0,0
camunda/camunda,296,3746,684,3867,3524,83192,0,0,0
geoserver/geoserver,529,4102,2235,4186,5116,14757,0,0,0
microsoft/typespec,152,5285,297,5453,1595,4697,0,0,0
mixpanel/mixpanel-android,78,1031,370,1040,5578,2231,0,0,0
microsoft/semantic-kernel-java,35,196,43,230,518,827,0,0,0
trinodb/trino,1100,11658,3277,12137,2489,43453,0,0,0
qaiu/netdisk-fast-download,9,1991,170,2390,937,505,0,0,0
AutoMQ/automq,1527,6819,471,7697,818,15154,0,0,0
hyperxpro/Brotli4j,23,128,41,139,1855,205,0,0,0
feiyuchuixue/sz-boot-parent,10,298,80,335,584,606,0,0,0
microsoft/ApplicationInsights-Java,91,307,207,312,3997,5231,0,0,0
OWASP/wrongsecrets,45,1336,458,1369,1911,6750,0,0,0
wgzhao/Addax,33,1317,317,1366,2310,1948,0,0,0
microsoft/HydraLab,33,1003,102,1008,1294,709,0,0,0
objectionary/eo,87,1239,162,1298,3292,11809,0,0,0
akto-api-security/akto,56,1358,251,1397,1016,9134,0,0,0
yegor256/cactoos,122,755,172,762,3095,3098,0,0,0
RyanSusana/elepy,10,148,25,151,2759,1783,0,0,0
1c-syntax/bsl-language-server,65,340,112,357,2508,7618,0,0,0
tonihele/OpenKeeper,20,463,43,476,4119,2778,0,0,0
vaadin/flow,267,699,182,711,3850,25943,0,0,0
jenkinsci/jira-plugin,131,171,285,173,5448,1649,0,0,0
halo-dev/halo,158,36165,9989,37270,2793,5783,299,4092,2979
apolloconfig/apollo,202,29581,10227,29698,3540,2971,144,3223,1791
wgzhao/dbeaver-agent,4,274,98,504,856,44,4,16,7
Azure/azure-sdk-for-java,795,2506,2106,2539,5089,33646,501,11180,35390
